RegioNaam,RegioCode,Amsterdamsecode,Partij,AantalZetels,Website,Facebook,Engine,Feed,Full_content
"Aa en Hunze","G1680","10787","Combinatie Gemeentebelangen","10","https://www.gemeentebelangen-aaenhunze.nl/","https://www.facebook.com/CombinatieGemeentebelangen/","joomla!","https://www.gemeentebelangen-aaenhunze.nl/?format=feed&type=rss",true
"Aalsmeer","G0358","11264","Absoluut Aalsmeer","4",,"https://www.facebook.com/AbsoluutAalsmeer/",,,
"Aalsmeer","G0358","11264","Het Aalsmeers Collectief","","https://www.energieaalsmeer.nl/",,,"http://www.energieaalsmeer.nl/feed/rss2",false
"Aalten","G0197","11046","GemeenteBelangen","5","http://www.gemeentebelangen-aalten.nl/","https://www.facebook.com/gemeentebelangenaalten/","wordpress","https://gemeentebelangen-aalten.nl/index.php/feed/",true
"Aalten","G0197","11046","Progressieve Partij","3","http://www.progressieve-partij.nl/","https://www.facebook.com/Progressieve-Partij-Aalten-Dinxperlo-310459222396487/","joomla!","http://www.progressieve-partij.nl/joomla/index.php?format=feed&type=rss",true
"Aalten","G0197","11046","HenkMeerdinkVolksvertegenwoordiging","1",,,,,
"Achtkarspelen","G0059","10199","FNP","4",,"https://www.facebook.com/pages/category/Political-Party/FNP-Achtkarspelen-451114934971762/",,,
"Achtkarspelen","G0059","10199","Gemeente Belangen Achtkarspelen GBA","3","http://gbachtkarspelen.nl/","https://www.facebook.com/GBAchtkarspelen/","wordpress","http://gbachtkarspelen.nl/feed/",false
"Albrandswaard","G0613","10124","Echt voor Albrandswaard (EVA)","4","http://www.eva-beweegt.nl/","https://www.facebook.com/groups/964745673665082/","wordpress","http://www.eva-beweegt.nl/feed/",true
"Albrandswaard","G0613","10124","Leefbaar Albrandswaard","3",,,,,
"Albrandswaard","G0613","10124","Stem-Lokaal","3",,"https://www.facebook.com/stemlokaal/",,,
"Albrandswaard","G0613","10124","ChristenUnie-SGP","1","https://albrandswaard.christenunie.nl/","https://www.facebook.com/albrandswaard.ChristenUnieSGP.nl/","procurios","https://albrandswaard.christenunie.nl/l/rss/collect/news/43617.44954",true
"Albrandswaard","G0613","10124","Nieuwe Albrandswaardse Partij (NAP)","1","https://www.nieuwealbrandswaardsepartij.nl/",,,"https://www.nieuwealbrandswaardsepartij.nl/feed/",true
"Alkmaar","G0361","10527","Onafhankelijke Partij Alkmaar (OPA)","6","http://opa-alkmaar.nl/","https://www.facebook.com/opa.alkmaar/",,,
"Alkmaar","G0361","10527","B.A.S.","2","https://www.bas-alkmaar.nl/","https://www.facebook.com/basalkmaar/","powered","https://www.bas-alkmaar.nl/feed/",true
"Alkmaar","G0361","10527","Leefbaar Alkmaar","2","http://www.leefbaaralkmaar.nl/","https://www.facebook.com/Leefbaar-Alkmaar-201504833529796/","wordpress","http://www.leefbaaralkmaar.nl/feed/",true
"Alkmaar","G0361","10527","SeniorenPartij Alkmaar (SPA) ouderen","2","https://www.seniorenpartijalkmaar.nl/","https://www.facebook.com/SeniorenPartijAlkmaar/","wordpress","https://www.seniorenpartijalkmaar.nl/feed/",true
"Alkmaar","G0361","10527","Democratische Partij Alkmaar","","https://www.dpalkmaar.nl/","https://www.facebook.com/dpalkmaar/","wordpress","https://www.dpalkmaar.nl/feed/",false
"Alkmaar","G0361","10527","Partij voor Iedereen","",,"https://www.facebook.com/PartijvoorIedereen.nl/?hc_location=ufi",,,
"Almelo","G0141","11053","Lokaal Almelo Samen","5","http://lokaalalmelosamen.nl/lokaalalmelosamen.nl/","https://www.facebook.com/lokaalalmelosamen/","divi","http://lokaalalmelosamen.nl/lokaalalmelosamen.nl/feed/",true
"Almelo","G0141","11053","Partij Vrij Almelo (PVA)","2","https://www.vrijalmelo.nl/",,"wordpress","https://www.vrijalmelo.nl/feed/",true
"Almelo","G0141","11053","Blanco lijst 14","1",,"https://www.facebook.com/PACKcenter/",,,
"Almelo","G0141","11053","DEMOCRATEN.NU","1","https://democraten.nu/","https://www.facebook.com/Democraten.Nu/","wordpress.com","https://democraten.nu/feed/",false
"Almelo","G0141","11053","Leefbaar Almelo","1","http://www.leefbaaralmelo.nl/",,,,
"Almelo","G0141","11053","Almelo Centraal","","http://almelocentraal.nl/",,"divi","http://almelocentraal.nl/feed/",true
"Almelo","G0141","11053","Minimapartij","","https://www.minimapartijalmelo.nl/","https://www.facebook.com/MinimaPartij/","wordpress","https://www.minimapartijalmelo.nl/feed/",true
"Almere","G0034","10018","Leefbaar Almere","3","http://www.leefbaaralmere.nl/","https://www.facebook.com/pages/category/Product-Service/Chris-Ivo-leefbaar-Almere-FNV-lokaal-Almere-304132973433780/",,,
"Almere","G0034","10018","AP/OPA","1","https://www.apopa.nl/",,,,
"Almere","G0034","10018","Respect Almere","1",,"https://www.facebook.com/RespectAlmere/",,,
"Almere","G0034","10018","Almere Anders'18","",,"https://www.facebook.com/AlmereAnders2018/",,,
"Almere","G0034","10018","GLP","","https://groenliberalepartij.nl/","https://www.facebook.com/glpalmere/","wordpress","https://groenliberalepartij.nl/feed/",true
"Almere","G0034","10018","WOW (Wonen Ondernemen Werken)","",,"https://www.facebook.com/WONENONDERNEMENWERKEN/",,,
"Almere","G0034","10018","WSTAV (Wij Staan Voor)","","http://wstav.nl/",,"powered","http://wstav.nl/feed/",false
"Alphen aan den Rijn","G0484","10517","Nieuw Elan","10",,,,,
"Alphen aan den Rijn","G0484","10517","Beter Alphen","1","http://www.beteralphen.nl/",,,"http://feeds.feedburner.com/BeterAlphen",true
"Alphen aan den Rijn","G0484","10517","RijnGouweLokaal (RGL)","1",,"https://www.facebook.com/rijngouwelokaal/",,,
"Alphen-Chaam","G1723","10710","GBSV","4","http://www.gbsv-chaam.nl/","https://www.facebook.com/GBSV-Chaam-570109063069486/",,,
"Alphen-Chaam","G1723","10710","Gemeenschapsbelangen Alphen","4","http://www.g-b-a.nl/",,"wordpress","http://www.g-b-a.nl/feed/",true
"Alphen-Chaam","G1723","10710","Gemeentebelangen Galder, Strijbeek, Ulvenhout AC (GSU)","1",,,,,
"Ameland","G0060","11153","AmelandEén","5","https://www.ameland1.nl/",,"wix.com",,
"Ameland","G0060","11153","Algemeen Belang Ameland","2","http://algemeenbelangameland.nl/","https://www.facebook.com/algemeenbelangameland/","wordpress","http://algemeenbelangameland.nl/feed/",true
"Ameland","G0060","11153","Ameland '82","1","https://www.ameland82.nl/",,,,
"Amersfoort","G0307","10948","Amersfoort 2014","3","https://amersfoort2014.nl/",,"joomla!",,
"Amersfoort","G0307","10948","Burger Partij Amersfoort (BPA)","2","https://www.burgerpartijamersfoort.nl/","https://www.facebook.com/lokalepolitiek/","wordpress","https://www.burgerpartijamersfoort.nl/feed/",true
"Amersfoort","G0307","10948","Actief","",,,,,
"Amersfoort","G0307","10948","Blanco lijst 10","","https://nl.flyingtiger.com/",,,,
"Amersfoort","G0307","10948","Vrede en Recht","","http://www.vrede-recht.nl/","https://www.facebook.com/vrede.recht/posts","powered","http://www.vrede-recht.nl/feed/",true
"Amstelveen","G0362","10799","BURGERBELANGEN AMSTELVEEN","4","https://burgerbelangen-amstelveen.nl/","https://www.facebook.com/BBABurgerbelangenAmstelveen/","burger","https://burgerbelangen-amstelveen.nl/feed/",true
"Amstelveen","G0362","10799","Actief voor Amstelveen","2","https://actiefvooramstelveen.nl/",,,,
"Amstelveen","G0362","10799","Ouderen Combinatie Amstelveen (OCA)","1","http://www.ocamstelveen.nl/","https://nl-nl.facebook.com/ouderencombinatieamstelveen.oca",,,
"Amsterdam","G0363","11150","Amsterdam BIJ1","1",,"https://www.facebook.com/020BIJ1/",,,
"Amsterdam","G0363","11150","Partij van de Ouderen (P.v.d.O.)","1","https://www.partijvandeouderen.com/",,"wordpress","http://www.partijvandeouderen.com/feed/",true
"Amsterdam","G0363","11150","Anti-Scooter Partij","","http://www.antiscooterpartij.nl/",,"anti-scooterpartij","http://www.antiscooterpartij.nl/feed/",false
"Amsterdam","G0363","11150","Basisinkomen Partij (BIpartij)","",,"https://www.facebook.com/bipams/",,,
"Amsterdam","G0363","11150","blanco (van Oudenallen, H.F.M.)","",,,,,
"Amsterdam","G0363","11150","Blanco lijst 28","",,,,,
"Amsterdam","G0363","11150","Blije Burgers","","http://blijeburen.nl/","https://www.facebook.com/blijeburgersamsterdam/","wordpress","http://blijeburen.nl/index.php/feed/",true
"Amsterdam","G0363","11150","Carryonthemove","","https://carryonthemove.jimdo.com/","https://www.facebook.com/carryonthemove/",,"https://carryonthemove.jimdo.com/rss/blog",true
"Amsterdam","G0363","11150","De Republikeinse Politieke Partij","",,,,,
"Amsterdam","G0363","11150","destemvandestraat","",,,,,
"Amsterdam","G0363","11150","Partij voor Iedereen","","https://piratenpartij.nl/","https://www.facebook.com/pages/category/Community/Partij-voor-iedereen-157620144386887/",,"https://piratenpartij.nl/feed/",true
"Amsterdam","G0363","11150","Piratenpartij Amsterdam","","https://amsterdam.piratenpartij.nl/","https://www.facebook.com/PiratenpartijAmsterdam/","wordpress","https://amsterdam.piratenpartij.nl/feed/",true
"Amsterdam","G0363","11150","Platform Amsterdam","","http://r2.amc.nl/","https://www.facebook.com/platformamsterdam/",,,
"Amsterdam","G0363","11150","QUEER","","https://queer.bnn.nl/","https://www.facebook.com/queeramsterdam/",,,
"Amsterdam","G0363","11150","SAMEN Alle Mensen Één Nederland (SAMEN)","",,"https://www.facebook.com/pages/SAMEN-Alle-Mensen-Een-Nederland/2023977884541615",,,
"Amsterdam","G0363","11150","U-Buntu Connected Front (UCF)","",,"https://www.facebook.com/pages/category/Political-Organization/UCF-U-Buntu-Connected-Front-587125468300658/",,,
"Apeldoorn","G0200","11075","Lokaal Apeldoorn","5","https://www.lokaalapeldoorn.nl/","https://www.facebook.com/Apeldoorn055/","joomla!","https://www.lokaalapeldoorn.nl/?format=feed&type=rss",true
"Apeldoorn","G0200","11075","Gemeentebelangen","1","https://www.gemeentebelangenapeldoorn.nl/","https://www.facebook.com/gemeentebelangenapeldoorn/?rc=p",,,
"Apeldoorn","G0200","11075","JEZUS LEEFT","","https://www.jezusleeft.nl/",,,,
"Apeldoorn","G0200","11075","Progressief Sociaal Apeldoorn (PSA)","","https://pers.omroepmax.nl/","https://www.facebook.com/pages/Raadslid-Progressief-Sociaal-Apeldoorn/155952787803047",,,
"Apeldoorn","G0200","11075","Vrede en Recht","","http://www.vrede-recht.nl/",,"powered","http://www.vrede-recht.nl/feed/",true
"Appingedam","G0003","10886","Gemeentebelangen Appingedam","6","https://www.gemeentebelangen-appingedam.nl/","https://www.facebook.com/gemeentebelangen.appingedam/",,,
"Arnhem","G0202","10795","Arnhem Centraal","3","http://www.arnhemcentraal.com/","https://www.facebook.com/ArnhemCentraal026","wordpress","http://www.arnhemcentraal.com/feed/",false
"Arnhem","G0202","10795","DENK Verenigd Arnhem","2","http://verenigdarnhem.nl/","https://www.facebook.com/pages/category/Political-Party/Denk-Verenigd-Arnhem-383540635417725/","wordpress","http://verenigdarnhem.nl/feed/",false
"Arnhem","G0202","10795","Arnhemse Ouderen Partij","1","http://arnhemseouderenpartij.nl/",,"wordpress","http://arnhemseouderenpartij.nl/feed/",false
"Arnhem","G0202","10795","Arnhem1","","http://arnhem1.nu/","https://www.facebook.com/Arnhem1Lokaal/","wordpress","http://arnhem1.nu/feed/",false
"Arnhem","G0202","10795","Blanco lijst 12","","http://www.lijstblanco.nl/",,,,
"Arnhem","G0202","10795","Gelderse Centrumdemocraten (Gelderse C.D.)","","http://www.geldersecentrumdemocraten.nl/",,,,
"Arnhem","G0202","10795","Nederlandse Volks-Unie (NVU)","",,,,,
"Assen","G0106","10522","Stadspartij PLOP","4","https://www.stadspartijplop.nl/","https://www.facebook.com/stadspartijplop/","joomla!","https://www.stadspartijplop.nl/?format=feed&type=rss",false
"Asten","G0743","10478","Algemeen Belang","4","https://algemeenbelangasten.nl/","https://www.facebook.com/Algemeen-Belang-Asten-1822740954658143/","wordpress","https://algemeenbelangasten.nl/feed/",false
"Asten","G0743","10478","Leefbaar Asten","3","http://leefbaarasten.nl/","https://www.facebook.com/Leefbaar-Asten-1419506218291625/","wordpress",,
"Asten","G0743","10478","D66-Hart voor Asten","2","https://hartvoorasten.d66.nl/","https://www.facebook.com/D66HartvoorAsten/","wordpress","https://hartvoorasten.d66.nl/home/feed/",false
"Asten","G0743","10478","PGA","2","https://www.pga-asten.nl/","https://www.facebook.com/pgasamendoen/","2018.0.0.379",,
"Baarle-Nassau","G0744","10060","BAARLE!","5","https://www.baarle-nassau.nl/",,"typo3","https://www.baarle-nassau.nl/rss/rss.xml",false
"Baarle-Nassau","G0744","10060","Keerpunt '98","3","http://www.keerpunt98.nl/",,,,
"Baarle-Nassau","G0744","10060","Fractie Ulicoten","2","http://fractieulicoten.nl/",,"joomla!",,
"Baarle-Nassau","G0744","10060","Vooruitstrevende Partij Baarle (VPB)","1","https://www.vp-baarle.nl/","https://www.facebook.com/vpb.baarle/","wordpress","https://www.vp-baarle.nl/feed/",false
"Baarn","G0308","11411","VoorBaarn","3","http://voorbaarn.nl/","https://www.facebook.com/VoorBaarn/","wordpress","http://voorbaarn.nl/feed/",true
"Baarn","G0308","11411","Baarnse Onafhankelijke Partij (BOP)","2","http://bopbaarn.nl/",,"wordpress","http://bopbaarn.nl/feed/",true
"Baarn","G0308","11411","ChristenUnie-SGP","1","https://baarn.christenunie.nl/","https://www.facebook.com/CUSGPBaarn/","procurios","https://baarn.christenunie.nl/l/rss/collect/news/43632.6006",true
"Baarn","G0308","11411","LTS (Lijst Tinus Snyders)","",,,,,
"Barendrecht","G0489","10943","EVB (Echt voor Barendrecht)","14","https://www.echtvoorbarendrecht.nl/","https://www.facebook.com/echtvoorbarendrecht/","wordpress","https://www.echtvoorbarendrecht.nl/feed/",true
"Barendrecht","G0489","10943","SGP-ChristenUnie","3","https://barendrecht.sgp-christenunie.nl/","https://www.facebook.com/SGPCUBarendrecht/","procurios","https://barendrecht.sgp-christenunie.nl/l/rss/collect/news/355363.23412",true
"Barneveld","G0203","10906","Pro'98 (Pro Barneveld - PvdA - D66)","5",,,,,
"Barneveld","G0203","10906","Lokaal Belang","4","https://www.lokaal-belang.com/","https://www.facebook.com/lokaalbelangbarneveld",,,
"Barneveld","G0203","10906","Burger Initiatief","2","http://www.burger-initiatief.nl/",,,,
"Barneveld","G0203","10906","Blanco lijst 8","","https://www.barneveld.nl/","https://www.facebook.com/GemeenteBarneveld/posts","typo3","https://www.barneveld.nl/nieuws.xml",false
"Beek","G0888","11374","BBB-NDB","5","http://www.bbb-ndb.nl/",,,,
"Beek","G0888","11374","Progressief Beek","4","http://progressiefbeek.nl/","https://www.facebook.com/BeekProgressief/","concrete5",,
"Beek","G0888","11374","Senioren Belang Beek","1","http://www.seniorenbelangbeek.nl/","https://www.facebook.com/SeniorenBelangBeek/",,,
"Beemster","G0370","10816","Beemster Polder Partij","6",,"https://www.facebook.com/BeemsterPolderPartij/",,,
"Beemster","G0370","10816","Partij van de Arbeid (P.v.d.A.)/GROENLINKS","2","https://beemster.pvda.nl/",,,,
"Beesel","G0889","10195","Verantwoorde Lokale Politiek (V.L.P.)","5","https://vlpbeesel.nl/",,,,
"Beesel","G0889","10195","Beeselse Lijst","3","http://samenverderbeesel.nl/","https://www.facebook.com/beeselselijstpp/","wordpress","http://samenverderbeesel.nl/?feed=rss2",true
